taxon	defined_class	defined_class_label	lbo_id	venom_code	fci_id
NCBITaxon:9615	OMIA:811	Longhaired whippet		22416	
NCBITaxon:9615	OMIA:817	Lapponian Herder 		22415	
NCBITaxon:9615	OMIA:1074	Irish soft-coated wheaten terrier		22414	
NCBITaxon:9615	OMIA:831	Entlebucher mountain dog		22410	
NCBITaxon:9615	OMIA:845	Perro de Presa Canario		22409	
NCBITaxon:9615	OMIA:820	Dogue de Bordeaux		19077	
NCBITaxon:9615	OMIA:1028	Czechoslovakian wolfdog		19071	
NCBITaxon:9615	OMIA:1132	Australian Terrier		19061	
NCBITaxon:9615	OMIA:38	Schnauzer		19049	
NCBITaxon:9615	OMIA:149	Saint Bernard		19047	
NCBITaxon:9615	OMIA:187	Poodle		19045	
NCBITaxon:9615	OMIA:516	Mastin Espanol		19039	
NCBITaxon:9685	OMIA:377	Persian		18760	
NCBITaxon:9986	OMIA:456	New Zealand White		18610	
NCBITaxon:9986	OMIA:1019	Netherland Dwarf		18609	
NCBITaxon:9986	OMIA:1021	Lionhead Dwarf		18584	
NCBITaxon:9986	OMIA:605	French		18557	
NCBITaxon:9986	OMIA:455	Flemish Giant		18552	
NCBITaxon:9986	OMIA:918	Checkered Giant		18489	
NCBITaxon:9986	OMIA:604	Beveren		18456	
NCBITaxon:9685	OMIA:37	Scottish Fold		18102	
NCBITaxon:9685	OMIA:1160	Munchkin		18098	
NCBITaxon:9685	OMIA:181	Manx		18096	
NCBITaxon:9685	OMIA:893	American Bobtail		18082	
NCBITaxon:9615	OMIA:598	Maltese		17461	
NCBITaxon:9685	OMIA:943	Toyger		15335	
NCBITaxon:9685	OMIA:693	Tonkanese		15334	
NCBITaxon:9685	OMIA:824	Sphynx		15333	
NCBITaxon:9685	OMIA:161	Siamese		15326	
NCBITaxon:9685	OMIA:807	Siamese		15326	
NCBITaxon:9685	OMIA:808	Siamese		15326	
NCBITaxon:9685	OMIA:871	Selkirk Rex		15322	
NCBITaxon:9685	OMIA:788	Ragdoll		15315	
NCBITaxon:9685	OMIA:894	Pixie-Bob		15313	
NCBITaxon:9685	OMIA:982	Norwegian Forest		15304	
NCBITaxon:9685	OMIA:91	Maltese Blue		15295	
NCBITaxon:9685	OMIA:778	Maine Coon		15294	
NCBITaxon:9685	OMIA:865	Korat		15289	
NCBITaxon:9685	OMIA:22	Himalayan		15285	
NCBITaxon:9685	OMIA:852	German Rex		15282	
NCBITaxon:9685	OMIA:888	Don Sphynx		15275	
NCBITaxon:9685	OMIA:461	Domestic shorthair		15273	
NCBITaxon:9685	OMIA:578	Domestic Shorthair		15273	
NCBITaxon:9685	OMIA:1156	Domestic medium-haired		15272	
NCBITaxon:9685	OMIA:777	Domestic Longhair		15271	
NCBITaxon:9685	OMIA:320	Devon Rex		15269	
NCBITaxon:9685	OMIA:822	Cornish Rex		15266	
NCBITaxon:9615	OMIA:373	Chincilla		15265	
NCBITaxon:9685	OMIA:761	Burmilla		15259	
NCBITaxon:9685	OMIA:201	Burmese		15258	
NCBITaxon:9685	OMIA:460	British shorthair		15257	
NCBITaxon:9685	OMIA:722	British Shorthair		15257	
NCBITaxon:9685	OMIA:927	Birman		15251	
NCBITaxon:9685	OMIA:28	Bengal		15250	
NCBITaxon:9685	OMIA:195	Abyssinian		15238	
NCBITaxon:9615	OMIA:657	Borzoi		15136	
NCBITaxon:9615	OMIA:669	Irish Wolfhound		15134	
NCBITaxon:9615	OMIA:402	Pembroke Welsh Corgi		15126	
NCBITaxon:9615	OMIA:21	Cardigan Welsh Corgi		15124	
NCBITaxon:9615	OMIA:20	Corgi		15123	
NCBITaxon:9615	OMIA:802	Corgi		15123	
NCBITaxon:9615	OMIA:980	Welsh Corgi		15123	
NCBITaxon:9615	OMIA:282	Weimaraner		15122	
NCBITaxon:9615	OMIA:780	Lagotto Romagnolo		15119	
NCBITaxon:9615	OMIA:800	Portugese water dog		15118	
NCBITaxon:9615	OMIA:959	Hungarian Puli		15117	
NCBITaxon:9615	OMIA:775	Tenterfield Terrier		15082	
NCBITaxon:9615	OMIA:765	American Staffordshire terrier		15079	
NCBITaxon:9615	OMIA:23	Soft Coated Wheaten Terrier		15075	
NCBITaxon:9615	OMIA:357	Silky Terrier		15073	
NCBITaxon:9615	OMIA:446	Sealyham Terrier		15071	
NCBITaxon:9615	OMIA:244	Scottish Terrier		15049	
NCBITaxon:9615	OMIA:951	Russell Terrier		15047	
NCBITaxon:9615	OMIA:887	Parson Russell Terrier		15044	
NCBITaxon:9615	OMIA:907	Norwich Terrier		15043	
NCBITaxon:9615	OMIA:851	Norfolk terrier		15042	
NCBITaxon:9615	OMIA:395	Manchester Terrier		15036	
NCBITaxon:9615	OMIA:416	Lakeland Terrier		15033	
NCBITaxon:9615	OMIA:313	Kerry Blue Terrier		15032	
NCBITaxon:9615	OMIA:546	Jack Russell Terrier		15009	
NCBITaxon:9615	OMIA:311	Irish Terrier		15008	
NCBITaxon:9615	OMIA:1026	Glen of Imaal Terrier		15005	
NCBITaxon:9615	OMIA:841	Glen of Imaal		15005	
NCBITaxon:9615	OMIA:1064	German Hunting Terrier		15004	
NCBITaxon:9615	OMIA:773	Toy Fox Terrier		15002	
NCBITaxon:9615	OMIA:950	Smooth-Haired Fox Terrier		15001	
NCBITaxon:9615	OMIA:298	Fox Terrier		14999	
NCBITaxon:9615	OMIA:892	Dandie Dinmont Terrier		14995	
NCBITaxon:9615	OMIA:251	Cairn Terrier		14993	
NCBITaxon:9615	OMIA:1067	Miniature Bull Terrier		14992	
NCBITaxon:9615	OMIA:32	Bull Terrier		14965	
NCBITaxon:9615	OMIA:870	Brazilian Terrier		14964	
NCBITaxon:9615	OMIA:563	Boston Terrier		14963	
NCBITaxon:9615	OMIA:933	Black Russian Terrier		14960	
NCBITaxon:9615	OMIA:214	Bedlington Terrier		14957	
NCBITaxon:9615	OMIA:766	American pit bull terrier		14952	
NCBITaxon:9615	OMIA:1096	American Hairless Terrier		14951	
NCBITaxon:9615	OMIA:276	Airedale Terrier		14929	
NCBITaxon:9615	OMIA:607	Terrier		14927	
NCBITaxon:9615	OMIA:925	Japanese Spitz		14918	
NCBITaxon:9615	OMIA:973	German Spitz		14913	
NCBITaxon:9615	OMIA:903	Finnish Spitz		14912	
NCBITaxon:9615	OMIA:468	English Springer Spaniel		14884	
NCBITaxon:9615	OMIA:397	Springer Spaniel		14883	
NCBITaxon:9615	OMIA:553	King Charles Spaniel		14880	
NCBITaxon:9615	OMIA:948	French Spaniel		14877	
NCBITaxon:9615	OMIA:641	Toy Spaniel		14872	
NCBITaxon:9615	OMIA:636	English Cocker Spaniel		14850	
NCBITaxon:9615	OMIA:764	American cocker spaniel		14848	
NCBITaxon:9615	OMIA:50	Cocker Spaniel		14846	
NCBITaxon:9615	OMIA:793	Clumber Spaniel		14845	
NCBITaxon:9615	OMIA:154	Cavalier King Charles Spaniel		14844	
NCBITaxon:9615	OMIA:464	Boykin Spaniel		14841	
NCBITaxon:9615	OMIA:186	Spaniel		14839	
NCBITaxon:9615	OMIA:812	Silken windhound		14835	
NCBITaxon:9615	OMIA:683	Shih-Tzu		14833	
NCBITaxon:9615	OMIA:810	McNab shepherd		14804	
NCBITaxon:9615	OMIA:11	German Shepherd Dog		14796	
NCBITaxon:9615	OMIA:452	Alsatian		14796	
NCBITaxon:9615	OMIA:69	German shepherd		14796	
NCBITaxon:9615	OMIA:1165	Dutch Shepherd dog		14793	
NCBITaxon:9615	OMIA:960	Central Asian Shepherd		14770	
NCBITaxon:9615	OMIA:559	Tervueron Shepherd		14765	
NCBITaxon:9615	OMIA:823	Malinois		14764	
NCBITaxon:9615	OMIA:560	Belgian Shepherd		14761	
NCBITaxon:9615	OMIA:843	Miniature Australian shepherd		14757	
NCBITaxon:9615	OMIA:640	Anatolian Shepherd		14755	
NCBITaxon:9615	OMIA:668	Shepherd		14752	
NCBITaxon:9615	OMIA:210	Shetland Sheepdog		14729	
NCBITaxon:9615	OMIA:1070	Polski Owczarek Podhalanski		14725	
NCBITaxon:9615	OMIA:487	Polish Owczarek Nizinny		14724	
NCBITaxon:9615	OMIA:173	Old English Sheepdog		14723	
NCBITaxon:9615	OMIA:308	Norwegian buhund		14722	
NCBITaxon:9615	OMIA:1031	New Zealand Huntaway dog		14721	
NCBITaxon:9615	OMIA:836	Schapendoes		14713	
NCBITaxon:9615	OMIA:486	Australian Sheepdog		14685	
NCBITaxon:9615	OMIA:312	Sheepdog		14683	
NCBITaxon:9615	OMIA:762	Irish Red and White Setter		14680	
NCBITaxon:9615	OMIA:242	Red Irish Setter		14679	
NCBITaxon:9615	OMIA:491	Gordon Setter		14678	
NCBITaxon:9615	OMIA:952	Gordon Setter		14678	
NCBITaxon:9615	OMIA:184	English Setter		14677	
NCBITaxon:9615	OMIA:900	Scottish Deerhound		14675	
NCBITaxon:9615	OMIA:1119	Standard Schnauzer		14673	
NCBITaxon:9615	OMIA:8	Miniature Schnauzer		14672	
NCBITaxon:9615	OMIA:371	Giant Schnauzer		14671	
NCBITaxon:9615	OMIA:325	Schipperke		14650	
NCBITaxon:9615	OMIA:89	Samoyed		14647	
NCBITaxon:9615	OMIA:697	Saluki		14646	
NCBITaxon:9615	OMIA:442	Rottweiler		14636	
NCBITaxon:9615	OMIA:157	Rhodesian Ridgeback		14634	
NCBITaxon:9615	OMIA:745	Ridgeback		14633	
NCBITaxon:9615	OMIA:799	Nova Scotia Duck Tolling retriever		14632	
NCBITaxon:9615	OMIA:387	Labrador		14631	
NCBITaxon:9615	OMIA:75	Labrador Retriever		14631	
NCBITaxon:9615	OMIA:235	Golden Retriever		14609	
NCBITaxon:9615	OMIA:930	Flat-coated retriever		14608	
NCBITaxon:9615	OMIA:779	Curly-coated retriever		14606	
NCBITaxon:9615	OMIA:537	Chesapeake Bay Retriever		14605	
NCBITaxon:9615	OMIA:804	Chesapeake Bay Retriever		14605	
NCBITaxon:9615	OMIA:388	Retriever		14604	
NCBITaxon:9615	OMIA:393	Pug		14599	
NCBITaxon:9615	OMIA:349	Toy Poodle		14595	
NCBITaxon:9615	OMIA:278	Standard Poodle		14594	
NCBITaxon:9615	OMIA:172	Miniature Poodle		14593	
NCBITaxon:9615	OMIA:196	Pomeranian		14591	
NCBITaxon:9615	OMIA:1025	Large Munster-lander		14563	
NCBITaxon:9615	OMIA:873	German Wirehaired Pointer		14558	
NCBITaxon:9615	OMIA:463	German Shorthaired Pointer		14557	
NCBITaxon:9615	OMIA:846	German pointer		14553	
NCBITaxon:9615	OMIA:199	English Pointer		14530	
NCBITaxon:9615	OMIA:1133	Braque du Bourbonnais		14529	
NCBITaxon:9615	OMIA:396	Pointer		14527	
NCBITaxon:9615	OMIA:619	German Pinscher		14524	
NCBITaxon:9615	OMIA:84	Doberman Pinscher		14523	
NCBITaxon:9615	OMIA:1017	PhalÃ¨ne		14516	
NCBITaxon:9615	OMIA:783	Peruvian Hairless Dog (Inca Hairless)		14514	
NCBITaxon:9615	OMIA:786	Pekingese		14511	
NCBITaxon:9615	OMIA:759	Papillon		14488	
NCBITaxon:9615	OMIA:575	Lundehund		14478	
NCBITaxon:9615	OMIA:725	Landseer Newfoundland		14477	
NCBITaxon:9615	OMIA:899	Landseer		14477	
NCBITaxon:9615	OMIA:1130	Pyrenean Mountain Dog		14448	
NCBITaxon:9615	OMIA:818	Great Pyrenees		14448	
NCBITaxon:9615	OMIA:879	Greater Swiss Mountain		14447	
NCBITaxon:9615	OMIA:104	Bernese Mountain dog		14443	
NCBITaxon:9615	OMIA:782	Mexican Hairless Dog (Xoloitzcuintli)		14434	
NCBITaxon:9615	OMIA:819	Italian Cane Corso		14403	
NCBITaxon:9615	OMIA:740	English Mastiff		14401	
NCBITaxon:9615	OMIA:781	Mastiff		14368	
NCBITaxon:9615	OMIA:483	Lhasa Apso		14363	
NCBITaxon:9615	OMIA:916	Leonberger		14361	
NCBITaxon:9615	OMIA:760	Finnish Lapphund		14359	
NCBITaxon:9615	OMIA:921	KromfohrlÃ_nder		14323	
NCBITaxon:9615	OMIA:880	Dutch Kooiker		14318	
NCBITaxon:9615	OMIA:1086	Komondor		14317	
NCBITaxon:9615	OMIA:345	Keeshond		14312	
NCBITaxon:9615	OMIA:599	Carelian Beardogs		14311	
NCBITaxon:9615	OMIA:832	Karelian bear dog		14311	
NCBITaxon:9615	OMIA:689	Shiba		14287	
NCBITaxon:9615	OMIA:902	Shiba-Inu		14287	
NCBITaxon:9615	OMIA:885	Japanese Chin dog		14286	
NCBITaxon:9615	OMIA:955	Italian Spinone		14284	
NCBITaxon:9615	OMIA:1104	Northern Inuit Dog		14283	
NCBITaxon:9615	OMIA:805	American Eskimo dog		14280	
NCBITaxon:9615	OMIA:801	Alaskan Husky		14272	
NCBITaxon:9615	OMIA:1157	Hungarian pumi		14247	
NCBITaxon:9615	OMIA:1158	Hungarian mudi		14246	
NCBITaxon:9615	OMIA:833	Kuvasz		14245	
NCBITaxon:9615	OMIA:1030	Plott Hound		14202	
NCBITaxon:9615	OMIA:703	Norwegian Dunkerhound		14200	
NCBITaxon:9615	OMIA:944	Italian hound		14196	
NCBITaxon:9615	OMIA:859	Finnish Hound		14163	
NCBITaxon:9615	OMIA:182	Basset Hound		14129	
NCBITaxon:9615	OMIA:213	Afghan Hound		14121	
NCBITaxon:9615	OMIA:798	Lancashire heeler		14118	
NCBITaxon:9615	OMIA:633	Hovawart		14088	
NCBITaxon:9615	OMIA:803	Wirehaired Griffon		14084	
NCBITaxon:9615	OMIA:1102	Petit Basset Griffon VendÃ©en		14075	
NCBITaxon:9615	OMIA:787	Grand Basset Griffon Vendeen		14074	
NCBITaxon:9615	OMIA:1084	Galgo EspaÃ±ol		14072	
NCBITaxon:9615	OMIA:1024	Italian Greyhound		14047	
NCBITaxon:9615	OMIA:1085	Magyar AgÃ¡r		14046	
NCBITaxon:9615	OMIA:198	Greyhound		14040	
NCBITaxon:9615	OMIA:339	Great Dane		14037	
NCBITaxon:9615	OMIA:945	American Foxhound		14007	
NCBITaxon:9615	OMIA:457	Foxhound		14006	
NCBITaxon:9615	OMIA:926	Eurasier		13997	
NCBITaxon:9615	OMIA:379	Norwegian Elkhound		13994	
NCBITaxon:9615	OMIA:350	Elkhound		13993	
NCBITaxon:9615	OMIA:1154	Danish-Swedish farmdog		13964	
NCBITaxon:9615	OMIA:179	Dalmatian		13962	
NCBITaxon:9615	OMIA:10	Wire-haired dachshund		13961	
NCBITaxon:9615	OMIA:842	Standard wire-haired dachshund		13961	
NCBITaxon:9615	OMIA:964	Miniature Wirehaired Dachshund		13957	
NCBITaxon:9615	OMIA:839	Miniature Long-haired Dachsund		13955	
NCBITaxon:9615	OMIA:150	Dachshund		13952	
NCBITaxon:9615	OMIA:1100	Alpine Dachsbracke		13928	
NCBITaxon:9615	OMIA:949	AlpenlÃ_ndische Dachsbracke		13928	
NCBITaxon:9615	OMIA:910	Catahoula leopard dogs		13919	
NCBITaxon:9615	OMIA:815	Mixed breed		13916	
NCBITaxon:9615	OMIA:821	Mixed breed		13916	
NCBITaxon:9615	OMIA:835	Mongrel		13916	
NCBITaxon:9615	OMIA:816	Coton de Tulear		13914	
NCBITaxon:9615	OMIA:274	Walker Hound		13913	
NCBITaxon:9615	OMIA:602	Bluetick Hound		13889	
NCBITaxon:9615	OMIA:1153	American English Coonhound		13887	
NCBITaxon:9615	OMIA:327	Border Collie		13883	
NCBITaxon:9615	OMIA:430	Bearded Collie		13882	
NCBITaxon:9615	OMIA:13	collie		13879	
NCBITaxon:9615	OMIA:80	Collie		13879	
NCBITaxon:9615	OMIA:809	Collie 		13879	
NCBITaxon:9615	OMIA:307	Chow Chow		13876	
NCBITaxon:9615	OMIA:573	Chow		13876	
NCBITaxon:9615	OMIA:381	Chinese Shar-Pei		13873	
NCBITaxon:9615	OMIA:957	Shar-Pei		13873	
NCBITaxon:9615	OMIA:305	Australian Cattle Dog		13833	
NCBITaxon:9615	OMIA:1091	French Bulldog		13768	
NCBITaxon:9615	OMIA:769	French bull dog		13768	
NCBITaxon:9615	OMIA:240	English Bulldog		13765	
NCBITaxon:9615	OMIA:806	American Bulldog		13761	
NCBITaxon:9615	OMIA:265	Bulldog		13759	
NCBITaxon:9615	OMIA:4	Briard		13756	
NCBITaxon:9615	OMIA:68	German Boxer		13727	
NCBITaxon:9615	OMIA:7	Boxer		13724	
NCBITaxon:9615	OMIA:758	Bichon Frise		13714	
NCBITaxon:9615	OMIA:85	Beagle		13683	
NCBITaxon:9615	OMIA:936	Basset Fauve de Bretagne		13682	
NCBITaxon:9615	OMIA:212	Basenji		13678	
NCBITaxon:9615	OMIA:1129	Australian Kelpie		13675	
