defined_class	preferred_label
ID	A skos:prefLabel
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9685	Domestic cat
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9685	Domestic cat
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9615	Dog
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9615	Dog
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9986	Rabbit
NCBITaxon:9986	Rabbit
NCBITaxon:9986	Rabbit
NCBITaxon:9986	Rabbit
NCBITaxon:9986	Rabbit
NCBITaxon:9986	Rabbit
NCBITaxon:9986	Rabbit
NCBITaxon:9685	Domestic cat
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9615	Dog
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9796	Horse
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9615	Dog
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9685	Domestic cat
NCBITaxon:9986	Rabbit
NCBITaxon:9986	Rabbit
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
NCBITaxon:9913	Cattle
