defined_class	defined_class_label	taxon	lbo_id	venom_code	fci_id
ID	LABEL	SC 'in taxon' some %	A http://purl.obolibrary.org/obo/omia#lbo_id	A http://purl.obolibrary.org/obo/omia#venom_code	A http://purl.obolibrary.org/obo/omia#fci_id
OMIA:1027	Saarloo	NCBITaxon:9615		22425	
OMIA:424	Miniature Pinscher	NCBITaxon:9615		22419	
OMIA:634	Vizsla	NCBITaxon:9615		22417	
OMIA:811	Longhaired whippet	NCBITaxon:9615		22416	
OMIA:817	Lapponian Herder 	NCBITaxon:9615		22415	
OMIA:1074	Irish soft-coated wheaten terrier	NCBITaxon:9615		22414	
OMIA:831	Entlebucher mountain dog	NCBITaxon:9615		22410	
OMIA:845	Perro de Presa Canario	NCBITaxon:9615		22409	
OMIA:820	Dogue de Bordeaux	NCBITaxon:9615		19077	
OMIA:1028	Czechoslovakian wolfdog	NCBITaxon:9615		19071	
OMIA:1132	Australian Terrier	NCBITaxon:9615		19061	
OMIA:38	Schnauzer	NCBITaxon:9615		19049	
OMIA:149	Saint Bernard	NCBITaxon:9615		19047	
OMIA:187	Poodle	NCBITaxon:9615		19045	
OMIA:516	Mastin Espanol	NCBITaxon:9615		19039	
OMIA:377	Persian	NCBITaxon:9685		18760	
OMIA:456	New Zealand White	NCBITaxon:9986		18610	
OMIA:1019	Netherland Dwarf	NCBITaxon:9986		18609	
OMIA:1021	Lionhead Dwarf	NCBITaxon:9986		18584	
OMIA:605	French	NCBITaxon:9986		18557	
OMIA:455	Flemish Giant	NCBITaxon:9986		18552	
OMIA:918	Checkered Giant	NCBITaxon:9986		18489	
OMIA:604	Beveren	NCBITaxon:9986		18456	
OMIA:37	Scottish Fold	NCBITaxon:9685		18102	
OMIA:1160	Munchkin	NCBITaxon:9685		18098	
OMIA:181	Manx	NCBITaxon:9685		18096	
OMIA:893	American Bobtail	NCBITaxon:9685		18082	
OMIA:598	Maltese	NCBITaxon:9615		17461	
OMIA:943	Toyger	NCBITaxon:9685		15335	
